_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2022-08-12,Carlos del Cerro,Osasuna,Sevilla,16,9,5,2,11,12,5,2,4,5,19,24,4,3,11,10,LA 22/23
2022-08-13,Miguel Ángel Ortiz Arias,Celta Vigo,Espanyol,17,15,3,3,19,18,1,0,11,5,27,21,3,1,8,9,LA 22/23
2022-08-13,Mario Melero,Valladolid,Villarreal,6,10,4,5,16,18,2,1,10,13,18,25,6,4,12,10,LA 22/23
2022-08-13,Alejandro Hernández,Barcelona,Rayo Vallecano,16,14,8,0,16,18,4,4,7,13,24,15,5,2,21,4,LA 22/23
2022-08-14,Isidro Díaz de Mera,Cádiz,Real Sociedad,9,20,3,6,20,25,4,0,4,11,24,23,1,7,7,15,LA 22/23
2022-08-14,Jorge Figueroa,Valencia,Girona,18,14,4,4,13,13,1,2,7,8,15,22,1,1,16,5,LA 22/23
2022-08-14,Juan Martínez,Almería,Real Madrid,11,4,2,15,11,9,3,3,8,5,13,19,6,15,10,29,LA 22/23
2022-08-15,Javier Villanueva,Athletic Club,Mallorca,13,12,7,2,10,19,1,0,4,17,20,16,6,2,23,6,LA 22/23
2022-08-15,José Sánchez,Getafe,Atlético Madrid,14,19,3,6,11,20,0,5,2,16,22,21,0,5,10,12,LA 22/23
2022-08-15,Guillermo Cuadra,Betis,Elche,10,18,8,4,16,12,5,3,1,4,20,20,8,1,17,4,LA 22/23
2022-08-19,Jorge Figueroa,Espanyol,Rayo Vallecano,12,17,9,2,11,7,3,2,8,13,18,14,1,3,13,8,LA 22/23
2022-08-19,Juan Pulido,Sevilla,Valladolid,20,10,12,2,18,20,4,4,5,16,23,12,2,3,18,6,LA 22/23
2022-08-20,Antonio Matéu Lahoz,Osasuna,Cádiz,11,13,2,2,13,15,0,1,10,11,23,23,1,2,14,9,LA 22/23
2022-08-20,Pablo González,Mallorca,Betis,22,17,5,2,17,10,4,0,9,6,26,17,7,1,13,6,LA 22/23
2022-08-20,Jesús Gil,Celta Vigo,Real Madrid,12,8,2,2,13,14,0,1,5,10,13,13,1,5,14,14,LA 22/23
2022-08-21,César Soto,Athletic Club,Valencia,11,15,6,3,17,15,6,0,12,7,19,26,2,0,12,10,LA 22/23
2022-08-21,Ricardo de Burgos,Atlético Madrid,Villarreal,8,11,5,6,18,6,2,1,7,12,16,5,5,5,13,19,LA 22/23
2022-08-21,José Luis Munuera,Real Sociedad,Barcelona,15,9,3,6,25,20,5,1,4,5,18,24,5,7,10,15,LA 22/23
2022-08-22,Isidro Díaz de Mera,Elche,Almería,12,16,6,5,14,11,7,3,3,14,14,17,3,7,13,12,LA 22/23
2022-08-22,Alejandro Muñíz,Girona,Getafe,16,18,5,2,13,16,2,1,5,7,12,22,6,3,12,7,LA 22/23
2022-08-26,Carlos del Cerro,Girona,Celta Vigo,16,13,2,4,20,15,1,1,4,7,18,21,3,6,11,11,LA 22/23
2022-08-26,Juan Martínez,Betis,Osasuna,9,21,2,4,14,17,2,1,9,13,25,22,1,2,7,12,LA 22/23
2022-08-27,Javier Villanueva,Elche,Real Sociedad,14,18,4,6,17,26,2,4,6,6,25,14,5,4,12,8,LA 22/23
2022-08-27,José Sánchez,Rayo Vallecano,Mallorca,11,18,7,3,14,8,1,2,6,8,24,17,0,4,15,9,LA 22/23
2022-08-27,Jesús Gil,Almería,Sevilla,18,11,5,2,9,7,4,5,8,6,17,13,5,5,11,13,LA 22/23
2022-08-28,Jorge Figueroa,Getafe,Villarreal,11,19,1,4,15,7,5,0,8,7,20,25,2,6,8,11,LA 22/23
2022-08-28,Ricardo de Burgos,Barcelona,Valladolid,9,8,14,4,15,22,1,3,5,15,24,24,9,2,24,8,LA 22/23
2022-08-28,Mario Melero,Espanyol,Real Madrid,15,12,7,7,22,8,0,6,2,11,15,18,4,6,15,19,LA 22/23
2022-08-29,Miguel Ángel Ortiz Arias,Cádiz,Athletic Club,18,4,0,6,10,15,0,3,10,2,25,14,3,7,9,19,LA 22/23
2022-08-29,Guillermo Cuadra,Valencia,Atlético Madrid,15,17,6,2,5,18,1,7,5,6,19,20,2,7,12,13,LA 22/23
2022-09-02,Juan Pulido,Celta Vigo,Cádiz,13,23,2,2,22,16,4,1,7,4,16,25,5,0,9,7,LA 22/23
2022-09-03,Isidro Díaz de Mera,Mallorca,Girona,22,10,6,3,17,11,1,2,10,7,14,21,4,3,10,9,LA 22/23
2022-09-03,José Sánchez,Real Madrid,Betis,8,12,9,2,24,28,2,3,4,15,11,16,4,4,22,8,LA 22/23
2022-09-03,César Soto,Real Sociedad,Atlético Madrid,18,13,7,6,21,16,4,0,4,8,23,26,5,7,12,15,LA 22/23
2022-09-03,Antonio Matéu Lahoz,Sevilla,Barcelona,15,14,4,4,21,11,6,2,14,4,19,15,4,5,9,18,LA 22/23
2022-09-04,Alejandro Muñíz,Osasuna,Rayo Vallecano,14,16,4,0,16,14,3,2,4,8,27,22,5,3,13,5,LA 22/23
2022-09-04,Juan Martínez,Athletic Club,Espanyol,12,12,4,2,14,16,3,2,4,14,31,19,2,2,17,9,LA 22/23
2022-09-04,Miguel Ángel Ortiz Arias,Villarreal,Elche,10,9,6,4,21,19,5,2,8,7,11,17,10,0,18,7,LA 22/23
2022-09-04,José Luis Munuera,Valencia,Getafe,11,22,4,1,10,6,1,1,2,6,11,16,9,4,24,7,LA 22/23
2022-09-05,Pablo González,Valladolid,Almería,11,19,2,8,20,12,6,4,10,12,14,28,6,0,14,12,LA 22/23
