_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2022-08-05,Benoît Bastien,Lyon,Ajaccio,10,18,4,3,15,22,0,0,10,4,22,20,10,7,5,3,L1 22/23
2022-08-06,François Letexier,Strasbourg,Monaco,17,15,3,7,26,14,3,3,11,3,16,20,11,24,7,11,L1 22/23
2022-08-06,Jeremy Stinat,Clermont Foot,Paris S-G,13,13,0,6,16,9,0,4,4,6,6,14,7,18,1,12,L1 22/23
2022-08-07,Johan Hamel,Toulouse,Nice,10,8,6,3,23,15,2,2,9,8,18,24,6,11,3,4,L1 22/23
2022-08-07,Thomas Léonard,Lens,Brest,16,14,6,3,12,15,0,2,3,10,21,23,15,5,6,3,L1 22/23
2022-08-07,Hakim Ben El Hadj Salem,Angers,Nantes,15,13,3,6,23,19,1,3,11,9,19,28,16,14,6,3,L1 22/23
2022-08-07,Eric Wattellier,Lille,Auxerre,10,9,7,2,14,16,2,4,6,10,13,22,16,10,6,2,L1 22/23
2022-08-07,Pierre Gaillouste,Montpellier,Troyes,13,10,3,6,15,17,4,0,6,9,20,16,17,15,6,9,L1 22/23
2022-08-07,Bastien Dechepy,Rennes,Lorient,11,5,7,2,19,25,0,1,6,8,20,19,21,8,6,2,L1 22/23
2022-08-07,Jérôme Brisard,Marseille,Reims,14,10,6,7,17,9,1,1,10,8,24,24,16,16,6,6,L1 22/23
2022-08-12,Bastien Dechepy,Nantes,Lille,14,10,5,11,23,18,0,1,7,9,28,25,10,16,1,4,L1 22/23
2022-08-13,Jérémie Pignard,Monaco,Rennes,6,11,1,6,13,19,1,1,13,6,20,18,11,24,3,8,L1 22/23
2022-08-13,Willy Delajod,Paris S-G,Montpellier,15,18,11,0,18,22,1,1,3,9,6,8,18,7,8,4,L1 22/23
2022-08-14,Stéphanie Frappart,Ajaccio,Lens,16,18,1,3,12,10,2,1,8,6,18,18,9,12,2,3,L1 22/23
2022-08-14,Johan Hamel,Reims,Clermont Foot,18,8,1,6,15,19,0,1,9,6,20,15,7,9,3,4,L1 22/23
2022-08-14,Ruddy Buquet,Auxerre,Angers,10,16,4,5,23,9,1,0,9,9,18,23,11,11,4,2,L1 22/23
2022-08-14,Marc Bollengier,Troyes,Toulouse,14,19,6,6,19,21,2,2,4,8,11,13,12,10,1,4,L1 22/23
2022-08-14,Hakim Ben El Hadj Salem,Nice,Strasbourg,7,13,7,3,15,16,4,0,8,7,27,14,12,9,2,5,L1 22/23
2022-08-14,Jeremy Stinat,Brest,Marseille,10,15,7,5,23,16,1,3,5,12,26,18,17,5,5,2,L1 22/23
2022-08-19,Eric Wattellier,Lyon,Troyes,9,7,4,5,24,19,0,2,6,10,15,14,16,3,8,0,L1 22/23
2022-08-20,Willy Delajod,Monaco,Lens,18,13,3,5,10,6,1,3,6,10,12,9,12,13,5,5,L1 22/23
2022-08-20,Jérémie Pignard,Marseille,Nantes,15,6,7,4,20,16,3,1,12,8,20,20,16,11,5,2,L1 22/23
2022-08-21,Ruddy Buquet,Strasbourg,Reims,12,16,5,4,19,11,1,5,4,5,19,20,12,12,3,6,L1 22/23
2022-08-21,Mathieu Vernice,Montpellier,Auxerre,10,13,7,2,12,17,2,0,5,8,22,10,13,6,7,1,L1 22/23
2022-08-21,Thomas Léonard,Clermont Foot,Nice,4,21,3,6,18,14,3,1,6,6,14,16,7,13,2,4,L1 22/23
2022-08-21,Jérôme Brisard,Angers,Brest,9,10,3,6,24,22,4,4,9,6,19,23,7,11,5,7,L1 22/23
2022-08-21,Gustavo Correia,Toulouse,Lorient,14,10,3,6,19,20,2,2,5,8,18,19,16,12,8,2,L1 22/23
2022-08-21,Hakim Ben El Hadj Salem,Rennes,Ajaccio,13,11,4,8,16,17,2,1,6,7,25,18,16,9,7,2,L1 22/23
2022-08-21,Clément Turpin,Lille,Paris S-G,13,8,2,4,13,24,2,4,6,5,8,7,16,16,9,9,L1 22/23
2022-08-26,Thomas Léonard,Ajaccio,Lille,13,13,6,0,11,12,2,2,5,8,28,20,14,6,2,4,L1 22/23
