_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-12-20,Daniel Siebert,Stuttgart,Augsburg,8,14,4,4,13,14,3,2,3,13,25,16,8,4,17,6,BS 23/24
2023-12-20,Sascha Stegemann,Wolfsburg,Bayern Munich,15,12,0,6,24,13,1,0,5,6,20,25,4,7,5,21,BS 23/24
2023-12-20,Daniel Schlager,Leverkusen,Bochum,7,12,4,3,11,29,5,2,5,9,15,15,7,1,15,6,BS 23/24
2023-12-20,Florian Badstübner,Eint Frankfurt,M'Gladbach,11,14,8,2,21,23,1,2,5,10,28,12,6,2,14,7,BS 23/24
2024-01-12,Benjamin Brand,Bayern Munich,Hoffenheim,8,6,11,2,22,25,2,0,9,11,19,18,11,4,27,11,BS 23/24
2024-01-13,Frank Willenborg,RB Leipzig,Eint Frankfurt,9,16,15,4,16,20,4,3,6,9,24,25,8,1,31,5,BS 23/24
2024-01-13,Christian Dingert,Freiburg,Union Berlin,7,9,4,3,13,14,4,1,3,9,18,11,3,4,13,9,BS 23/24
2024-01-13,Sven Jablonski,Augsburg,Leverkusen,11,4,0,12,20,14,4,3,12,6,10,24,0,6,3,24,BS 23/24
2024-01-13,Felix Zwayer,Köln,Heidenheim,12,11,9,6,18,22,1,0,6,10,21,21,5,2,14,9,BS 23/24
2024-01-13,Patrick Ittrich,Mainz 05,Wolfsburg,21,16,7,3,12,21,1,3,7,9,28,14,2,4,11,9,BS 23/24
2024-01-13,Deniz Aytekin,Darmstadt 98,Dortmund,10,13,3,4,22,11,2,1,5,6,19,24,2,8,11,17,BS 23/24
2024-01-14,Tobias Stieler,Bochum,Werder Bremen,14,14,3,4,21,16,4,3,4,7,30,20,4,3,14,16,BS 23/24
2024-01-14,Harm Osmers,M'Gladbach,Stuttgart,7,11,0,3,19,15,4,0,10,2,12,19,4,2,8,15,BS 23/24
2024-01-20,Daniel Siebert,Darmstadt 98,Eint Frankfurt,11,7,4,1,13,11,3,1,6,8,18,12,3,4,12,8,BS 23/24
2024-01-20,Timo Gerach,Heidenheim,Wolfsburg,11,10,4,2,24,21,2,1,9,9,30,17,3,3,12,13,BS 23/24
2024-01-20,Daniel Schlager,Köln,Dortmund,16,7,13,4,19,13,1,2,2,4,20,17,5,6,19,10,BS 23/24
