_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,trow_ins_home,trow_ins_away,sot_home,sot_away,shots_home,shots_away,league_season
2023-09-17,Francisco Hernández,Villarreal,Almería,16,6,6,6,18,18,1,1,13,6,13,18,4,7,10,17,LA 23/24
2023-09-17,Juan Martínez,Sevilla,Las Palmas,13,12,7,3,25,16,6,0,11,10,17,33,9,2,26,14,LA 23/24
2023-09-17,César Soto,Real Madrid,Real Sociedad,11,14,4,3,16,15,3,2,8,5,20,17,8,5,17,15,LA 23/24
2023-09-18,Isidro Díaz de Mera,Granada,Girona,13,21,4,5,19,21,3,5,3,5,28,23,5,6,12,13,LA 23/24
2023-09-22,Alejandro Muñíz,Alavés,Athletic Club,13,9,3,4,18,13,4,0,12,8,25,32,5,3,15,11,LA 23/24
2023-09-23,Pablo González,Girona,Mallorca,10,12,6,5,12,9,1,3,6,11,15,14,8,4,22,14,LA 23/24
2023-09-23,Javier Villanueva,Osasuna,Sevilla,11,7,7,4,15,23,2,4,18,10,28,24,2,3,16,15,LA 23/24
2023-09-23,Mario Melero,Barcelona,Celta Vigo,10,11,2,3,11,12,2,0,8,11,20,10,6,7,15,13,LA 23/24
2023-09-23,Mateo Busquets,Almería,Valencia,12,10,7,3,10,25,3,1,4,8,22,24,10,5,17,7,LA 23/24
2023-09-24,Juan Pulido,Real Sociedad,Getafe,13,24,2,1,11,19,3,1,5,8,20,17,5,6,9,9,LA 23/24
2023-09-24,Jorge Figueroa,Rayo Vallecano,Villarreal,20,18,2,8,14,21,6,2,9,6,17,11,6,6,11,13,LA 23/24
2023-09-24,Ricardo de Burgos,Las Palmas,Granada,13,19,6,7,23,16,4,5,7,7,10,22,3,1,10,2,LA 23/24
2023-09-24,Miguel Ángel Ortiz Arias,Betis,Cádiz,10,14,11,8,24,27,1,5,7,16,15,12,7,1,21,5,LA 23/24
2023-09-24,Alberola Rojas,Atlético Madrid,Real Madrid,13,10,6,11,25,11,1,1,13,6,19,16,4,5,10,20,LA 23/24
2023-09-26,Guillermo Cuadra,Sevilla,Almería,15,16,9,4,17,12,0,2,7,5,16,25,9,0,18,9,LA 23/24
2023-09-26,Alejandro Muñíz,Mallorca,Barcelona,19,7,7,2,28,13,6,1,12,3,11,22,5,4,10,10,LA 23/24
2023-09-27,Isidro Díaz de Mera,Athletic Club,Getafe,9,19,5,4,14,6,6,1,5,5,22,21,4,5,8,13,LA 23/24
2023-09-27,José Luis Munuera,Real Madrid,Las Palmas,7,9,7,2,12,24,6,2,8,4,17,8,9,2,21,16,LA 23/24
2023-09-27,José Sánchez,Villarreal,Girona,9,11,5,6,17,16,4,0,12,6,18,14,2,5,13,17,LA 23/24
2023-09-27,Francisco Hernández,Cádiz,Rayo Vallecano,16,13,1,2,12,17,1,2,9,12,26,26,2,4,9,9,LA 23/24
2023-09-27,Alejandro Hernández,Valencia,Real Sociedad,14,17,0,2,18,16,3,2,4,5,26,26,2,1,9,2,LA 23/24
2023-09-28,César Soto,Celta Vigo,Alavés,9,11,2,8,12,12,0,2,14,6,25,19,0,9,8,21,LA 23/24
2023-09-28,Víctor García,Granada,Betis,14,10,5,7,12,13,2,2,11,8,16,19,7,3,18,13,LA 23/24
2023-09-28,Juan Martínez,Osasuna,Atlético Madrid,14,4,7,2,11,12,2,5,3,13,26,14,2,3,13,5,LA 23/24
2023-09-29,Miguel Ángel Ortiz Arias,Barcelona,Sevilla,11,15,13,3,11,20,1,3,7,8,26,31,4,3,18,12,LA 23/24
2023-09-30,Mateo Busquets,Getafe,Villarreal,19,11,6,4,22,16,2,1,7,21,17,18,9,0,22,3,LA 23/24
2023-09-30,Mario Melero,Rayo Vallecano,Mallorca,12,20,5,0,5,19,1,2,6,20,18,16,4,4,18,9,LA 23/24
2023-09-30,Juan Pulido,Girona,Real Madrid,13,14,1,4,16,22,0,0,6,17,22,13,3,7,13,14,LA 23/24
2023-09-30,Jesús Gil,Real Sociedad,Athletic Club,20,9,5,7,17,16,2,2,10,3,23,23,5,3,8,18,LA 23/24
2023-10-01,Pablo González,Almería,Granada,18,14,1,5,16,10,0,4,11,7,18,22,5,2,17,17,LA 23/24
2023-10-01,Jorge Figueroa,Alavés,Osasuna,13,13,4,2,12,6,5,1,8,13,20,17,3,3,17,10,LA 23/24
2023-10-01,Javier Villanueva,Atlético Madrid,Cádiz,5,10,5,3,17,17,2,0,11,11,15,16,9,4,18,8,LA 23/24
2023-10-01,Ricardo de Burgos,Betis,Valencia,11,10,5,3,13,19,5,2,7,7,17,21,7,2,15,9,LA 23/24
2023-10-02,Alberola Rojas,Las Palmas,Celta Vigo,13,14,4,5,21,18,2,2,5,9,32,13,4,3,15,11,LA 23/24
2023-10-06,Víctor García,Athletic Club,Almería,11,7,6,2,19,26,0,2,6,13,20,21,9,1,23,4,LA 23/24
2023-10-07,Juan Martínez,Cádiz,Girona,12,13,5,5,15,15,0,3,10,11,13,10,2,5,8,20,LA 23/24
2023-10-07,Guillermo Cuadra,Real Madrid,Osasuna,9,6,5,4,14,15,2,1,9,11,21,13,8,1,18,7,LA 23/24
2023-10-07,Francisco Hernández,Mallorca,Valencia,17,11,3,6,26,15,4,0,3,2,28,23,5,3,9,11,LA 23/24
2023-10-07,Isidro Díaz de Mera,Sevilla,Rayo Vallecano,16,19,12,2,18,12,2,1,5,18,30,21,6,4,22,7,LA 23/24
2023-10-08,Alejandro Muñíz,Villarreal,Las Palmas,17,7,7,2,16,34,4,5,6,5,20,12,4,4,9,7,LA 23/24
2023-10-08,José Luis Munuera,Atlético Madrid,Real Sociedad,9,12,1,4,14,18,0,2,13,9,23,17,4,4,13,13,LA 23/24
2023-10-08,Alejandro Hernández,Alavés,Betis,13,9,5,3,11,10,1,1,6,16,23,18,5,2,15,6,LA 23/24
2023-10-08,José Sánchez,Celta Vigo,Getafe,14,20,13,1,9,16,3,2,2,12,23,11,10,2,25,3,LA 23/24
2023-10-08,César Soto,Granada,Barcelona,12,7,1,11,16,22,2,4,12,5,13,20,2,10,7,22,LA 23/24
2023-10-20,Mateo Busquets,Osasuna,Granada,19,13,1,7,7,17,3,1,1,5,34,15,5,3,11,13,LA 23/24
2023-11-25,César Soto,Valencia,Celta Vigo,13,7,5,7,17,28,0,1,9,9,22,22,0,1,8,13,LA 23/24
2023-11-25,Alejandro Hernández,Getafe,Almería,12,8,3,6,15,21,1,4,9,10,22,28,5,4,18,13,LA 23/24
2023-11-25,Juan Martínez,Atlético Madrid,Mallorca,8,19,7,3,16,15,2,1,9,17,18,16,3,1,20,8,LA 23/24
2023-11-26,Ricardo de Burgos,Villarreal,Osasuna,9,14,2,4,11,11,3,3,11,2,21,19,3,7,10,15,LA 23/24
2023-11-26,Miguel Ángel Ortiz Arias,Real Sociedad,Sevilla,22,8,4,4,15,26,0,2,6,6,30,24,8,2,11,8,LA 23/24
2023-11-26,Guillermo Cuadra,Cádiz,Real Madrid,16,16,4,4,20,15,1,1,7,6,16,13,4,5,13,14,LA 23/24
2023-11-26,Víctor García,Betis,Las Palmas,7,12,7,6,19,24,5,4,10,5,13,14,6,4,12,15,LA 23/24
2023-11-27,Mario Melero,Girona,Athletic Club,8,16,2,6,17,19,2,2,3,10,13,19,2,6,13,13,LA 23/24
2023-11-29,Javier Villanueva,Mallorca,Cádiz,14,18,7,0,7,19,4,0,6,16,31,20,3,3,16,6,LA 23/24
2023-12-01,Mateo Busquets,Las Palmas,Getafe,11,9,4,4,17,14,4,2,8,6,18,22,6,4,11,12,LA 23/24
2023-12-02,Javier Villanueva,Girona,Valencia,6,7,3,2,13,10,8,2,4,8,19,10,5,3,9,9,LA 23/24
2023-12-02,Francisco Hernández,Athletic Club,Rayo Vallecano,15,11,7,2,13,20,5,2,11,7,23,13,4,3,9,11,LA 23/24
2023-12-02,Pablo González,Real Madrid,Granada,10,12,6,0,10,9,7,2,5,7,18,12,4,0,11,2,LA 23/24
2023-12-02,Juan Pulido,Osasuna,Real Sociedad,12,10,1,8,13,16,1,5,14,6,23,21,3,5,9,17,LA 23/24
2023-12-03,Jorge Figueroa,Mallorca,Alavés,16,15,5,4,21,18,1,0,5,8,28,16,3,4,7,7,LA 23/24
2023-12-03,Alejandro Muñíz,Almería,Betis,12,8,4,6,28,6,4,1,4,10,24,27,8,2,20,6,LA 23/24
2023-12-03,Isidro Díaz de Mera,Sevilla,Villarreal,6,16,8,4,17,13,1,0,2,16,16,12,4,4,18,5,LA 23/24
2023-12-03,José Sánchez,Barcelona,Atlético Madrid,17,12,7,2,11,19,1,4,5,10,13,15,2,3,13,8,LA 23/24
2023-12-04,Jesús Gil,Celta Vigo,Cádiz,14,18,12,1,8,13,2,1,3,16,22,11,7,1,26,2,LA 23/24
2023-12-08,Guillermo Cuadra,Getafe,Valencia,15,15,7,0,15,10,2,1,7,8,26,15,6,0,8,3,LA 23/24
2023-12-09,José Luis Munuera,Alavés,Las Palmas,13,13,12,3,8,26,7,3,9,7,18,12,3,2,19,9,LA 23/24
2023-12-09,César Soto,Betis,Real Madrid,14,7,7,6,20,14,0,1,9,4,13,21,6,2,14,12,LA 23/24
2023-12-09,Mario Melero,Villarreal,Real Sociedad,10,22,5,3,17,20,7,2,7,5,30,13,4,5,20,16,LA 23/24
2023-12-09,Alberola Rojas,Mallorca,Sevilla,15,6,4,12,17,16,3,1,12,3,21,18,3,5,6,19,LA 23/24
2023-12-10,Ricardo de Burgos,Atlético Madrid,Almería,13,11,3,15,26,12,4,2,11,9,17,23,4,6,13,19,LA 23/24
2023-12-10,Juan Martínez,Cádiz,Osasuna,15,16,2,4,11,15,8,2,4,7,33,25,5,3,12,12,LA 23/24
2023-12-10,Isidro Díaz de Mera,Barcelona,Girona,7,10,8,3,18,14,1,2,8,9,22,12,11,7,31,15,LA 23/24
2023-12-11,Miguel Ángel Ortiz Arias,Granada,Athletic Club,9,11,1,8,20,16,2,1,15,6,21,20,2,4,7,19,LA 23/24
2023-12-11,Víctor García,Rayo Vallecano,Celta Vigo,15,10,8,1,11,21,3,0,7,9,28,17,4,2,18,4,LA 23/24
2023-12-15,Javier Villanueva,Osasuna,Rayo Vallecano,20,13,9,1,8,11,0,3,8,8,22,22,4,3,10,10,LA 23/24
2023-12-16,José Sánchez,Celta Vigo,Granada,20,18,7,1,20,8,3,0,8,6,16,31,4,2,11,7,LA 23/24
2023-12-16,Jesús Gil,Athletic Club,Atlético Madrid,8,10,2,7,15,17,1,4,6,6,16,21,7,3,15,7,LA 23/24
2023-12-16,Juan Pulido,Sevilla,Getafe,18,18,4,2,14,18,6,0,6,10,21,20,4,5,12,12,LA 23/24
