_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2024-04-20,Sat,Liga MX,Clausura 2024 Regular Season,Home,L 0–2,Santos,Pachuca,Y,LB,90,0,0,0,0,0,0,0,0,74.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,50.0,66.0,75.8,4.0,27.0,2.0,Bruno Amione
2024-04-28,Sun,Liga MX,Clausura 2024 Regular Season,Home,L 0–3,Santos,Atlético,Y,CB,90,0,0,0,0,1,0,0,0,90.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,81.0,82.7,2.0,49.0,1.0,Bruno Amione
2023-08-20,Sun,Serie A,Matchweek 1,Away,L 1–2,Lazio,Lecce,Y,RW,53,0,0,0,0,1,0,0,0,39.0,2.0,1,1.0,0.4,0.4,0.2,2.0,0.0,26.0,31.0,83.9,2.0,19.0,3.0,Felipe Anderson
2023-08-27,Sun,Serie A,Matchweek 2,Home,L 0–1,Lazio,Genoa,Y,RW,66,0,0,0,0,0,0,0,0,63.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,40.0,54.0,74.1,9.0,54.0,5.0,Felipe Anderson
2023-09-02,Sat,Serie A,Matchweek 3,Away,W 2–1,Lazio,Napoli,Y,RW,79,0,2,0,0,1,0,0,0,45.0,4.0,2,2.0,0.1,0.1,0.4,5.0,3.0,26.0,35.0,74.3,2.0,23.0,4.0,Felipe Anderson
2023-09-16,Sat,Serie A,Matchweek 4,Away,L 1–3,Lazio,Juventus,Y,RW,72,0,0,0,0,3,0,0,0,47.0,0.0,0,0.0,0.1,0.1,0.0,3.0,0.0,31.0,36.0,86.1,3.0,24.0,3.0,Felipe Anderson
2023-09-19,Tue,Champions Lg,Group stage,Home,D 1–1,it Lazio,es Atlético Madrid,Y,RW,61,0,0,0,0,0,0,0,0,32.0,3.0,1,1.0,0.0,0.0,0.2,2.0,0.0,16.0,19.0,84.2,3.0,17.0,0.0,Felipe Anderson
2023-09-27,Wed,Serie A,Matchweek 6,Home,W 2–0,Lazio,Torino,Y,RW,90,0,1,0,0,0,0,0,0,52.0,3.0,1,2.0,0.0,0.0,0.4,3.0,2.0,33.0,44.0,75.0,6.0,25.0,0.0,Felipe Anderson
2023-09-30,Sat,Serie A,Matchweek 7,Away,L 0–2,Lazio,Milan,Y,RW,74,0,0,0,0,2,0,0,0,44.0,0.0,3,1.0,0.2,0.2,0.1,3.0,0.0,24.0,33.0,72.7,0.0,25.0,3.0,Felipe Anderson
2023-10-04,Wed,Champions Lg,Group stage,Away,W 2–1,it Lazio,sct Celtic,Y,RW,67,0,0,0,0,3,0,0,0,43.0,3.0,2,1.0,0.1,0.1,0.0,2.0,0.0,20.0,26.0,76.9,3.0,30.0,3.0,Felipe Anderson
