_date,day,comp,round,venue,result,team,opponent,start,pos,mins,goals,assists,pk,pkatt,shots,sot,crdy,crdr,touches,tackles,_int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp_pct,prgp,carries,prgc,player_name
2024-02-04,Sun,La Liga,Matchweek 23,Away,D 0–0,Cádiz,Villarreal,Y,RM,74,0,0,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.0,1,0,13,21,61.9,1,15,2,Iván Alejo
2024-02-09,Fri,La Liga,Matchweek 24,Home,L 0–2,Cádiz,Betis,Y,RM,45,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.1,4,0,15,21,71.4,3,13,2,Iván Alejo
2024-04-20,Sat,La Liga,Matchweek 32,Away,L 1–4,Cádiz,Girona,Y,RM,69,0,0,0,0,0,0,0,0,35,2,2,1,0.0,0.0,0.2,4,0,17,30,56.7,2,25,4,Iván Alejo
2023-08-13,Sun,La Liga,Matchweek 1,Home,D 0–0,Getafe,Barcelona,Y,CM,64,0,0,0,0,1,0,1,0,24.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,17.0,18.0,94.4,1.0,14.0,0.0,Carles Aleñá
2023-08-20,Sun,La Liga,Matchweek 2,Away,L 0–3,Getafe,Girona,Y,"AM,LW",65,0,0,0,0,0,0,0,0,25.0,0.0,0,1.0,0.0,0.0,0.1,1.0,0.0,12.0,20.0,60.0,0.0,10.0,1.0,Carles Aleñá
2023-09-02,Sat,La Liga,Matchweek 4,Away,L 1–2,Getafe,Real Madrid,Y,RM,57,0,0,0,0,3,1,0,0,25.0,1.0,0,0.0,0.2,0.2,0.0,1.0,0.0,12.0,16.0,75.0,0.0,18.0,1.0,Carles Aleñá
2023-09-24,Sun,La Liga,Matchweek 6,Away,L 3–4,Getafe,Real Sociedad,Y,AM,77,1,0,0,0,1,1,0,0,38.0,3.0,0,1.0,0.3,0.3,0.1,4.0,1.0,22.0,29.0,75.9,2.0,17.0,0.0,Carles Aleñá
2023-09-27,Wed,La Liga,Matchweek 7,Away,D 2–2,Getafe,Athletic Club,Y,RM,64,0,0,0,0,1,0,0,0,26.0,0.0,1,1.0,0.0,0.0,0.5,3.0,0.0,13.0,20.0,65.0,3.0,14.0,0.0,Carles Aleñá
2023-10-08,Sun,La Liga,Matchweek 9,Away,D 2–2,Getafe,Celta Vigo,Y,RM,45,0,0,0,0,0,0,1,0,13.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,5.0,0.0,Carles Aleñá
2023-11-11,Sat,La Liga,Matchweek 13,Away,D 1–1,Getafe,Granada,Y,AM,57,0,0,0,0,1,1,1,0,27.0,3.0,1,3.0,0.1,0.1,0.0,1.0,0.0,8.0,12.0,66.7,0.0,14.0,0.0,Carles Aleñá
2024-01-21,Sun,La Liga,Matchweek 21,Away,L 2–3,Getafe,Osasuna,Y,RM,45,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,60.0,3.0,10.0,0.0,Carles Aleñá
2024-03-09,Sat,La Liga,Matchweek 28,Away,L 0–1,Getafe,Valencia,Y,RM,60,0,0,0,0,1,1,0,0,32.0,1.0,0,1.0,0.0,0.0,0.1,2.0,0.0,17.0,19.0,89.5,0.0,23.0,0.0,Carles Aleñá
2024-05-15,Wed,La Liga,Matchweek 36,Home,L 0–3,Getafe,Atlético Madrid,Y,RM,45,0,0,0,0,0,0,0,0,20.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,81.3,1.0,15.0,0.0,Carles Aleñá
2023-09-27,Wed,La Liga,Matchweek 7,Away,W 1–0,Real Sociedad,Valencia,Y,LW,90,0,0,0,0,0,0,0,0,30.0,2.0,1,2.0,0.0,0.0,0.0,1.0,1.0,11.0,21.0,52.4,0.0,22.0,5.0,Mohamed Ali Cho
2023-11-29,Wed,Champions Lg,Group stage,Home,D 0–0,es Real Sociedad,at RB Salzburg,Y,FW,73,0,0,0,0,1,1,0,0,28.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,17.0,76.5,1.0,26.0,5.0,Mohamed Ali Cho
2024-01-27,Sat,Ligue 1,Matchweek 19,Home,W 1–0,Nice,Metz,Y,LW,65,0,0,0,0,0,0,0,0,31.0,1.0,0,1.0,0.0,0.0,0.1,2.0,0.0,15.0,22.0,68.2,2.0,22.0,4.0,Mohamed Ali Cho
2024-02-16,Fri,Ligue 1,Matchweek 22,Away,L 0–1,Nice,Lyon,Y,RW,80,0,0,0,0,3,1,0,0,34.0,1.0,0,1.0,0.1,0.1,0.1,3.0,0.0,18.0,24.0,75.0,1.0,20.0,5.0,Mohamed Ali Cho
2024-02-25,Sun,Ligue 1,Matchweek 23,Home,D 0–0,Nice,Clermont Foot,Y,"RW,LW",72,0,0,0,0,2,0,0,0,38.0,2.0,1,0.0,0.1,0.1,0.0,6.0,0.0,23.0,31.0,74.2,5.0,32.0,7.0,Mohamed Ali Cho
2024-03-16,Sat,Ligue 1,Matchweek 26,Away,W 3–1,Nice,Lens,Y,RW,60,0,2,0,0,0,0,0,0,20.0,1.0,0,2.0,0.0,0.0,1.3,3.0,2.0,9.0,13.0,69.2,3.0,10.0,3.0,Mohamed Ali Cho
2024-03-31,Sun,Ligue 1,Matchweek 27,Home,L 1–2,Nice,Nantes,Y,RW,59,0,0,0,0,1,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,26.0,84.6,1.0,30.0,4.0,Mohamed Ali Cho
2024-04-07,Sun,Ligue 1,Matchweek 28,Away,D 0–0,Nice,Reims,Y,RW,60,0,0,0,0,1,0,0,0,29.0,1.0,0,1.0,0.1,0.1,0.1,3.0,0.0,12.0,20.0,60.0,2.0,21.0,5.0,Mohamed Ali Cho
2024-04-19,Fri,Ligue 1,Matchweek 30,Home,W 3–0,Nice,Lorient,Y,RW,58,0,0,0,0,2,2,0,0,16.0,2.0,0,0.0,0.3,0.3,0.0,1.0,0.0,9.0,11.0,81.8,1.0,14.0,3.0,Mohamed Ali Cho
