_date,referee,home,away,fouls_home,fouls_away,corners_home,corners_away,tackles_home,tackles_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shots_home,shots_away,sot_home,sot_away,league_season
2023-10-20,François Letexier,Le Havre,Lens,16,9,3,3,13,24,1,4,8,8,35,29,14,13,4,7,L1 23/24
2023-10-21,Bastien Dechepy,Paris S-G,Strasbourg,11,10,1,6,23,18,4,1,6,6,10,20,7,7,3,1,L1 23/24
2023-10-21,Ruddy Buquet,Nice,Marseille,13,6,4,2,21,17,0,3,10,6,15,13,10,9,2,1,L1 23/24
2023-10-22,Gaël Angoula,Lorient,Rennes,5,14,6,16,27,19,0,2,9,3,10,26,5,20,4,6,L1 23/24
2023-10-22,Marc Bollengier,Nantes,Montpellier,16,13,4,3,17,16,1,0,9,7,18,20,14,11,5,6,L1 23/24
2023-10-22,Hakim Ben El Hadj Salem,Lille,Brest,12,13,3,5,30,28,0,1,8,3,19,28,6,9,4,1,L1 23/24
2023-10-22,Jeremy Stinat,Toulouse,Reims,18,15,5,7,15,32,1,2,7,5,20,21,11,15,5,3,L1 23/24
2023-10-22,Romain Lissorgue,Monaco,Metz,12,11,10,2,21,19,2,1,9,11,16,22,27,8,13,4,L1 23/24
2023-10-22,Willy Delajod,Lyon,Clermont Foot,16,12,10,3,23,27,1,1,6,12,22,10,25,12,6,5,L1 23/24
2023-10-27,Jérémie Pignard,Clermont Foot,Nice,14,12,2,2,17,11,2,2,12,3,20,20,8,11,3,4,L1 23/24
2023-10-28,Benoît Bastien,Reims,Lorient,16,7,4,3,19,12,2,0,6,8,20,18,12,9,5,1,L1 23/24
2023-10-28,Pierre Gaillouste,Lens,Nantes,12,17,4,1,16,14,3,0,12,5,17,13,9,11,5,1,L1 23/24
2023-10-29,Jérôme Brisard,Brest,Paris S-G,14,10,9,5,15,30,0,2,7,10,19,14,21,16,5,9,L1 23/24
2023-10-29,Hakim Ben El Hadj Salem,Metz,Le Havre,13,15,5,6,12,17,3,2,6,6,25,15,9,12,3,2,L1 23/24
2023-10-29,Thomas Léonard,Montpellier,Toulouse,13,15,3,4,14,15,2,1,7,9,19,21,19,17,6,5,L1 23/24
2023-10-29,Clément Turpin,Lille,Monaco,17,13,2,8,16,14,0,5,12,2,15,22,7,16,5,6,L1 23/24
2023-10-29,Florent Batta,Rennes,Strasbourg,14,16,7,5,15,19,4,2,9,10,20,15,20,11,3,3,L1 23/24
2023-11-03,Ruddy Buquet,Paris S-G,Montpellier,10,13,9,2,17,33,2,2,4,8,15,18,21,7,9,2,L1 23/24
2023-11-04,Bastien Dechepy,Lorient,Lens,10,14,1,5,24,18,4,1,11,3,14,23,7,14,2,7,L1 23/24
2023-11-04,Stéphanie Frappart,Marseille,Lille,10,12,2,8,16,13,3,2,8,9,20,11,8,10,3,1,L1 23/24
2023-11-05,Benoît Millot,Lyon,Metz,16,14,4,9,25,23,2,0,5,7,13,17,15,11,4,5,L1 23/24
2023-11-05,Jeremy Stinat,Strasbourg,Clermont Foot,11,5,4,6,33,15,1,5,7,6,16,13,18,10,5,2,L1 23/24
2023-11-05,Gaël Angoula,Nantes,Reims,5,11,10,6,7,8,0,6,5,13,21,14,17,7,4,3,L1 23/24
2023-11-05,Marc Bollengier,Toulouse,Le Havre,9,12,4,6,33,12,1,2,6,9,24,15,16,15,5,7,L1 23/24
2023-11-05,Eric Wattellier,Monaco,Brest,15,11,6,4,20,17,1,2,10,5,20,20,12,15,6,1,L1 23/24
2023-11-05,Clément Turpin,Nice,Rennes,7,12,2,1,20,17,0,0,4,11,14,17,15,11,3,4,L1 23/24
2023-11-10,Hakim Ben El Hadj Salem,Montpellier,Nice,11,15,3,7,11,9,3,1,9,5,9,16,9,15,1,3,L1 23/24
2023-11-11,Willy Delajod,Reims,Paris S-G,14,6,8,3,16,24,4,1,7,8,23,10,19,14,6,6,L1 23/24
2023-11-11,Thomas Léonard,Le Havre,Monaco,10,18,2,4,16,22,2,2,10,2,26,17,8,10,4,4,L1 23/24
2023-11-12,Florent Batta,Metz,Nantes,7,9,2,5,11,14,1,1,12,3,19,24,9,16,4,3,L1 23/24
2023-11-12,Romain Lissorgue,Clermont Foot,Lorient,15,10,5,4,26,17,1,1,7,8,7,18,16,10,5,3,L1 23/24
2023-11-12,Mathieu Vernice,Lille,Toulouse,12,16,11,1,18,23,2,2,3,5,21,20,14,2,5,1,L1 23/24
2023-11-12,Stéphanie Frappart,Rennes,Lyon,5,18,6,9,22,14,0,3,11,7,15,15,8,12,2,5,L1 23/24
2023-11-12,Benoît Bastien,Lens,Marseille,19,15,4,5,12,22,0,1,6,11,20,26,14,8,2,2,L1 23/24
2023-11-24,Benoît Bastien,Paris S-G,Monaco,9,19,2,10,18,27,1,5,8,5,22,14,15,14,10,7,L1 23/24
2023-11-25,Benoît Millot,Clermont Foot,Lens,16,17,2,4,7,16,0,0,4,7,10,8,13,16,4,10,L1 23/24
2023-11-25,Jérôme Brisard,Strasbourg,Marseille,14,16,7,11,21,15,0,3,9,8,12,16,15,16,7,3,L1 23/24
2023-11-26,François Letexier,Nice,Toulouse,9,19,4,2,15,17,0,1,8,8,15,23,8,19,2,2,L1 23/24
2023-11-26,Jérémie Pignard,Lorient,Metz,10,17,5,6,14,21,1,0,6,5,19,14,11,13,5,4,L1 23/24
2023-11-26,Pierre Gaillouste,Montpellier,Brest,11,18,9,1,19,22,1,2,11,10,28,18,15,17,4,5,L1 23/24
2023-11-26,Miguel Nogueira,Nantes,Le Havre,10,17,10,5,12,12,2,1,6,10,24,22,19,6,3,0,L1 23/24
2023-11-26,Ruddy Buquet,Rennes,Reims,10,18,1,8,16,14,1,4,6,2,23,24,10,15,5,4,L1 23/24
2023-11-26,Eric Wattellier,Lyon,Lille,17,5,3,5,14,15,3,1,5,4,10,11,11,15,5,8,L1 23/24
2023-11-29,Mathieu Vernice,Montpellier,Clermont Foot,23,14,8,0,15,16,1,0,5,13,30,5,31,5,7,1,L1 23/24
